Full Name,Gender,Nationality,Age Group,Course,Semester,Subjects Enrolled,Study Preference,Availability,Learning Style,Motivational Factors,Preferred Study Environment,Strengths,Hobbies,Interests Outside of Academics,Future Career Aspirations,Preferred Communication Channels,Proficiency in Tools/Technologies,Location Preference,Preferred Study Partner Personality,Past Group Project Experience,Willingness to Mentor Others
Rebecca Cox,Female,USA,25+,Master's,Sem 7,"Education Leadership, Degin Futere, Environmental Science, Architecture",Individual,"Sun (9am-12pm), Wed (3pm-5pm), Tue (10am-12pm)",Reading/Writing,Collaboration,Group Study Rooms,Presentation,Gaming,Environmental Activism,Project Manager,Slack,Animation Tools,In-person,Relaxed,Yes,Yes
Kevin Brandt,Non-Binary,Ireland,21-25,Bachelor's,Sem 3,"Geography, Physics, Sociology, Literature",Group,"Sun (4pm-6pm), Wed (1pm-4pm), Tue (9am-12pm)",Kinesthetic,Collaboration,Library,Time Management,Chess,Philosophy,Project Manager,In-Person,SQL,In-person,Competitive,Yes,Yes
Alison Cain,Prefer Not to Say,India,18-21,Master's,Sem 4,"Degin Futere, Environmental Science, Architecture, Marketing",Individual,"Sun (9am-12pm), Wed (8am-11am), Tue (8am-9am)",Visual,Competition,Group Study Rooms,Presentation,Cooking,Digital Marketing,Software Engineer,Email,Power Point,In-person,Relaxed,No,No
Alexander Cook,Prefer Not to Say,Ireland,18-21,Master's,Sem 6,"Education Leadership, International Business, Finance, Business Administration",Individual,"Sun (11am-2pm), Wed (8am-9am), Tue (2pm-4pm)",Visual,Deadlines,Quiet Spaces,Time Management,Gaming,Digital Marketing,Software Engineer,In-Person,Animation Tools,In-person,Competitive,No,No
Anna Galloway,Binary,Japan,25+,Master's,Sem 3,"Degin Futere, Finance, Machine Learning, Business Administration",Group,"Sun (11am-3pm), Wed (3pm-6pm), Tue (9am-12pm)",Kinesthetic,Deadlines,Cafes,Time Management,Robotics,Philosophy,Supply Chain Manager,WhatsApp,Excel,In-person,Relaxed,No,Yes
Jacob Daniels,Male,Brazil,18-21,Bachelor's,Sem 2,"Biology, Literature, Political Science, Psychology",Individual,"Sun (2pm-5pm), Wed (3pm-4pm), Tue (2pm-3pm)",Kinesthetic,Personal Goals,Library,Research,Music,Mental Health Advocacy,Project Manager,Email,Editing Tools,Online,Collaborative,Yes,No
David Clayton,Female,Germany,21-25,Master's,Sem 7,"Education Leadership, Data Science, International Business, International Relations",Group,"Sun (9am-1pm), Wed (4pm-6pm), Tue (1pm-5pm)",Kinesthetic,Competition,Cafes,Time Management,Writing,Digital Marketing,Software Engineer,In-Person,Power Point,In-person,Relaxed,No,Yes
Yesenia Sanchez,Prefer Not to Say,Ireland,18-21,Master's,Sem 8,"Business Administration, International Relations, Artificial Intelligence, Architecture",Individual,"Sun (2pm-6pm), Wed (11am-1pm), Tue (12pm-1pm)",Kinesthetic,Deadlines,Quiet Spaces,Time Management,Reading,Group Entertainment,Data Scientist,Slack,Adobe Illustration,Online,Competitive,No,Yes
Danielle Anderson,Binary,Mexico,21-25,Master's,Sem 5,"International Business, Data Science, Education Leadership, Degin Futere",Individual,"Sun (9am-11am), Wed (12pm-3pm), Tue (5pm-7pm)",Visual,Competition,Library,Analytical Thinking,Hiking,Tech Entrepreneurship,Business Analyst,In-Person,Excel,Online,Focused,Yes,No
William Green,Binary,Germany,18-21,Master's,Sem 8,"Data Science, Education Leadership, Machine Learning, International Relations",Individual,"Sun (12pm-4pm), Wed (3pm-4pm), Tue (1pm-5pm)",Reading/Writing,Deadlines,Library,Research,Writing,DJ,Project Manager,Slack,Power Point,In-person,Collaborative,Yes,No
Kyle Tyler,Prefer Not to Say,USA,18-21,Master's,Sem 7,"Machine Learning, International Business, Artificial Intelligence, International Relations",Individual,"Sun (4pm-8pm), Wed (8am-9am), Tue (11am-12pm)",Visual,Personal Goals,Group Study Rooms,Time Management,Hiking,Volunteering,Software Engineer,In-Person,Animation Tools,Online,Collaborative,No,No
Elizabeth Mckinney,Female,Germany,18-21,Bachelor's,Sem 2,"Literature, Physics, History, Political Science",Group,"Sun (4pm-5pm), Wed (10am-1pm), Tue (2pm-6pm)",Visual,Collaboration,Group Study Rooms,Analytical Thinking,Music,Volunteering,Business Analyst,Email,Python,Online,Collaborative,No,Yes
Devin Drake,Prefer Not to Say,Canada,18-21,Master's,Sem 7,"Mechanical Engineering, Machine Learning, Education Leadership, Environmental Science",Individual,"Sun (2pm-6pm), Wed (10am-1pm), Tue (3pm-7pm)",Reading/Writing,Deadlines,Cafes,Analytical Thinking,Writing,Group Entertainment,Software Engineer,In-Person,SQL,In-person,Focused,No,No
April Mays,Male,Japan,25+,Master's,Sem 3,"Education Leadership, Mechanical Engineering, Architecture, Marketing",Group,"Sun (4pm-7pm), Wed (10am-1pm), Tue (1pm-4pm)",Auditory,Personal Goals,Cafes,Problem-Solving,Photography,Wildlife Conservation,Project Manager,Email,Excel,Online,Relaxed,No,Yes
Andrea Stevens,Prefer Not to Say,Japan,25+,Bachelor's,Sem 3,"History, Physics, Biology, Psychology",Individual,"Sun (12pm-1pm), Wed (11am-12pm), Tue (3pm-4pm)",Kinesthetic,Deadlines,Group Study Rooms,Analytical Thinking,Chess,Tech Entrepreneurship,Data Scientist,WhatsApp,Excel,Online,Collaborative,Yes,No
David Valencia,Non-Binary,New Zealand,21-25,Bachelor's,Sem 1,"Engineering Fundamentals, Geography, History, Biology",Individual,"Sun (12pm-3pm), Wed (1pm-3pm), Tue (4pm-5pm)",Reading/Writing,Deadlines,Cafes,Problem-Solving,Robotics,Tech Entrepreneurship,Software Engineer,WhatsApp,Python,In-person,Collaborative,Yes,No
Dr. Katherine Wilson,Prefer Not to Say,New Zealand,25+,Master's,Sem 7,"Data Science, International Relations, Artificial Intelligence, Degin Futere",Group,"Sun (10am-12pm), Wed (4pm-7pm), Tue (12pm-1pm)",Auditory,Personal Goals,Quiet Spaces,Analytical Thinking,Yoga,Cultural Studies,Software Engineer,Email,Animation Tools,In-person,Competitive,Yes,No
Amanda Parks,Male,Germany,21-25,Master's,Sem 4,"Urban Development, Machine Learning, Environmental Science, Finance",Group,"Sun (11am-12pm), Wed (5pm-9pm), Tue (12pm-1pm)",Auditory,Collaboration,Library,Research,Dance,Language Learning,Data Scientist,WhatsApp,Office 365,Online,Collaborative,No,Yes
Michael Stephens,Female,Ireland,18-21,Master's,Sem 4,"Business Administration, Marketing, Mechanical Engineering, Environmental Science",Individual,"Sun (1pm-5pm), Wed (11am-3pm), Tue (5pm-7pm)",Reading/Writing,Collaboration,Cafes,Analytical Thinking,Writing,Travel,Project Manager,WhatsApp,Excel,In-person,Competitive,No,Yes
Kelsey Oliver,Female,India,25+,Bachelor's,Sem 7,"Biology, Mathematics, Literature, Geography",Individual,"Sun (12pm-4pm), Wed (2pm-5pm), Tue (1pm-4pm)",Kinesthetic,Collaboration,Quiet Spaces,Research,Chess,Financial Literacy Education,Supply Chain Manager,In-Person,Adobe Illustration,Online,Relaxed,Yes,No
Leah Martin,Prefer Not to Say,UK,25+,Master's,Sem 3,"Education Leadership, Machine Learning, Degin Futere, International Relations",Group,"Sun (2pm-6pm), Wed (11am-3pm), Tue (4pm-8pm)",Reading/Writing,Deadlines,Cafes,Analytical Thinking,Music,DJ,Business Analyst,Slack,Python,Online,Focused,Yes,Yes
Carol Parker,Female,UK,25+,Master's,Sem 5,"Environmental Science, Machine Learning, Urban Development, Artificial Intelligence",Individual,"Sun (1pm-5pm), Wed (4pm-6pm), Tue (3pm-4pm)",Reading/Writing,Collaboration,Cafes,Research,Chess,Cultural Studies,Data Scientist,WhatsApp,Power Point,Online,Focused,No,Yes
Chad Hansen,Prefer Not to Say,India,18-21,Master's,Sem 8,"Finance, Architecture, Artificial Intelligence, International Business",Group,"Sun (1pm-3pm), Wed (8am-12pm), Tue (3pm-5pm)",Reading/Writing,Deadlines,Library,Analytical Thinking,Painting,Group Entertainment,Software Engineer,WhatsApp,Animation Tools,Online,Collaborative,Yes,No
Charles Romero,Female,Brazil,21-25,Bachelor's,Sem 2,"Sociology, Psychology, Biology, Physics",Individual,"Sun (1pm-2pm), Wed (1pm-4pm), Tue (8am-11am)",Kinesthetic,Personal Goals,Group Study Rooms,Presentation,Reading,Renewable Energy,Business Analyst,Email,SQL,In-person,Focused,No,Yes
Ann Adams,Prefer Not to Say,Australia,18-21,Master's,Sem 6,"Finance, Artificial Intelligence, Degin Futere, Business Administration",Group,"Sun (1pm-3pm), Wed (8am-12pm), Tue (11am-3pm)",Reading/Writing,Deadlines,Quiet Spaces,Problem-Solving,Writing,Mental Health Advocacy,Supply Chain Manager,In-Person,Adobe Illustration,In-person,Collaborative,Yes,No
Kathleen Greene,Binary,Ireland,25+,Master's,Sem 3,"Architecture, Degin Futere, Artificial Intelligence, Mechanical Engineering",Group,"Sun (9am-1pm), Wed (10am-11am), Tue (8am-11am)",Reading/Writing,Competition,Quiet Spaces,Time Management,Sports,Financial Literacy Education,Supply Chain Manager,In-Person,Adobe Illustration,Online,Collaborative,No,Yes
April Gomez,Male,South Africa,25+,Bachelor's,Sem 6,"Literature, Political Science, Mathematics, History",Group,"Sun (8am-12pm), Wed (3pm-7pm), Tue (1pm-4pm)",Kinesthetic,Personal Goals,Cafes,Time Management,Reading,Open Source Contributions,Project Manager,Email,Python,Online,Focused,Yes,No
